ticker,name,close,Perf.YTD,Perf.3M,Perf.Y,Value.Traded,sector,extraction_day
NASDAQ:AMKR,AMKR,32.77,25.363427697016075,55.82501188777937,10.151260504201693,103864187.30000001,Electronic Technology,2025-10-26
NASDAQ:FUTU,FUTU,178.38,126.7158108795119,9.982119736111967,100.20202020202021,564025965.3,Finance,2025-10-26
NYSE:SMFG,SMFG,16.03,10.704419889502766,-0.9270704573547502,29.902755267423025,50613410.54000001,Finance,2025-10-26
NYSE:LC,LC,18.43,12.104622871046217,39.30461073318215,25.20380434782608,57050617.9,Finance,2025-10-26
NYSE:J,J,159.59,19.566124315880554,11.937995370695104,13.898642723908527,492102467.78000003,Technology Services,2025-10-26
NASDAQ:SSNC,SSNC,84.63,11.546065638592315,-1.4095992544268499,11.604905710141102,250161286.82999998,Technology Services,2025-10-26
OTC:KRKNF,KRKNF,4.854,148.9230769230769,85.97701149425289,322.0869565217392,13997057.502,Electronic Technology,2025-10-26
NYSE:CLS,CLS,296.62,219.53032424862656,78.83757385747015,373.07814992025516,850022450.9,Electronic Technology,2025-10-26
NASDAQ:EVLV,EVLV,8.23,104.2183622828784,21.565731166912865,95.48693586698339,22708429.98,Electronic Technology,2025-10-26
NASDAQ:NDAQ,NDAQ,88.44,13.954387321221489,-6.184364060676777,20.753686510103773,243803963.04,Finance,2025-10-26
NYSE:VTR,VTR,70.39,19.89439618463635,4.560308972073689,7.105903834449181,190280641.26,Finance,2025-10-26
NASDAQ:WAY,WAY,38.97,5.925523240010872,5.324324324324321,41.55466763530693,105094451.88,Technology Services,2025-10-26
NASDAQ:BACQ,BACQ,12.16,23.20162107396151,16.982693103216057,23.20162107396151,31938033.28,Finance,2025-10-26
NYSE:CTRE,CTRE,35.17,31.673530512916514,12.220804084237402,14.003241491085898,91175305.89,Finance,2025-10-26
NASDAQ:ALGM,ALGM,30.91,39.86425339366515,-5.790917403230729,46.70147128618889,79117452.37,Electronic Technology,2025-10-26
NASDAQ:CRWD,CRWD,527.32,52.175920581784624,14.13852813852815,74.54569527655491,1344904875.96,Technology Services,2025-10-26
NYSE:DAN,DAN,19.88,72.7193744569939,21.59021406727827,92.4491771539206,49549607.8,Producer Manufacturing,2025-10-26
NYSE:RCI,RCI,39.34,27.52025931928688,14.794280711992995,0.10178117048347647,96782576.38000001,Communications,2025-10-26
OTC:WQNI,WQNI,0.0001,9900.000000000002,9900.000000000002,9900.000000000002,244.32670000000002,Communications,2025-10-26
OTC:GZIC,GZIC,0.0005,49900.0,-16.666666666666657,49900.0,1173.9965,Electronic Technology,2025-10-26
NASDAQ:MGNI,MGNI,19.94,23.54399008674102,-14.310270734851734,57.50394944707742,45470139.120000005,Technology Services,2025-10-26
NYSE:SAP,SAP,269.55,9.867938371239916,-5.689094153458588,13.638279932546384,595106290.35,Technology Services,2025-10-26
NYSE:HWM,HWM,198.51,80.13611615245007,5.798646271918135,98.1137724550898,425287824.0,Electronic Technology,2025-10-26
NYSE:ELME,ELME,16.65,9.037328094302547,3.6092097075295477,-4.639175257731972,35078919.3,Finance,2025-10-26
NYSE:GD,GD,350.77,32.416006040015105,11.695962297796447,16.25294137142477,735984912.4599999,Electronic Technology,2025-10-26
OTC:TKOI,TKOI,0.02,1566.666666666667,300.0,657.5757575757576,41355.5,Producer Manufacturing,2025-10-26
NASDAQ:ADTN,ADTN,10.07,19.596199524940623,9.456521739130446,62.41935483870967,20352376.3,Electronic Technology,2025-10-26
NASDAQ:PEGA,PEGA,66.27,40.99999999999999,14.258620689655164,69.9230769230769,130889015.49,Technology Services,2025-10-26
OTC:QNCCF,QNCCF,2.511,87.38805970149254,148.61386138613864,2743.7146092865237,4755620.565,Electronic Technology,2025-10-26
NYSE:HXL,HXL,72.79,15.448057097541648,20.353835978835995,17.006912072014153,137504531.82000002,Electronic Technology,2025-10-26
NYSE:CRS,CRS,314.21,82.5846940554361,14.583181387207334,107.87958981144557,589539340.39,Non-Energy Minerals,2025-10-26
NASDAQ:CDNS,CDNS,345.1,13.206928224642452,6.184615384615392,37.462656841266686,640627075.2,Technology Services,2025-10-26
NYSE:YOU,YOU,31.3,15.031238515251745,4.4726301735647525,-11.830985915492956,55992883.0,Technology Services,2025-10-26
NYSE:CBRE,CBRE,162.96,23.435843054082714,12.077028885832188,24.74929189313329,291067581.84000003,Finance,2025-10-26
NYSE:MTG,MTG,27.38,15.235690235690225,7.1205007824726145,7.710464201416196,47014499.18,Finance,2025-10-26
NYSE:ATI,ATI,89.25,60.83979095332492,-4.830454254638517,43.998063891577935,148775198.25,Non-Energy Minerals,2025-10-26
NYSE:ARLO,ARLO,19.44,72.49334516415264,18.176291793313084,78.1851512373969,32034204.000000004,Electronic Technology,2025-10-26
NASDAQ:MOFG,MOFG,39.54,34.76482617586912,43.62513621503813,34.48979591836735,64734057.66,Finance,2025-10-26
OTC:CODYY,CODYY,20.94,18.640226628895203,-11.979823455233282,18.088256027068937,33906655.260000005,Producer Manufacturing,2025-10-26
NASDAQ:STLD,STLD,152.95,33.03470470557536,20.045522329487476,18.823803604723423,232688800.04999998,Non-Energy Minerals,2025-10-26
NYSE:AMX,AMX,22.67,57.75922059846905,23.677032187670505,36.07442977190877,34158589.25,Communications,2025-10-26
OTC:RLLCF,RLLCF,0.0035,16.666666666666668,-25.53191489361702,-5.405405405405408,5205.462500000001,Electronic Technology,2025-10-26
NYSE:MRP,MRP,32.41,50.74418604651161,4.717285945072689,50.74418604651161,48054436.63999999,Finance,2025-10-26
OTC:INVU,INVU,0.03,244.82758620689657,134.375,180.37383177570092,44436.15,Technology Services,2025-10-26
NASDAQ:AXG,AXG,3.78,112.35955056179773,3.5616438356164357,35.97122302158274,5583668.58,Finance,2025-10-26
OTC:RMRDF,RMRDF,0.513,113.6609745939192,33.24675324675325,163.48228043143297,757468.611,Non-Energy Minerals,2025-10-26
NYSE:JBL,JBL,212.44,46.98678475057081,-3.1192995257205416,70.89534228943769,312916897.04,Producer Manufacturing,2025-10-26
NYSE:CSTM,CSTM,16.9,62.49999999999998,21.933621933621925,55.04587155963301,24627237.7,Non-Energy Minerals,2025-10-26
NYSE:BC,BC,71.91,9.769500839566463,18.311944718657447,-7.499356830460507,104143297.94999999,Producer Manufacturing,2025-10-26
NASDAQ:EM,EM,1.36,92.09039548022602,19.298245614035107,90.12310471029993,1961594.6400000001,Finance,2025-10-26
NYSE:KT,KT,18.61,19.448010269576375,-10.399614829080404,17.117684078036493,26236657.15,Communications,2025-10-26
NYSE:HNGE,HNGE,49.6,26.369426751592364,7.9199303742384695,26.369426751592364,69925584.0,Technology Services,2025-10-26
NYSE:NUE,NUE,138.7,17.74193548387096,-2.193075241520354,-2.2344399802636326,188674164.79999998,Non-Energy Minerals,2025-10-26
NASDAQ:SDGR,SDGR,22.52,14.19878296146045,-0.044385264092328285,22.657952069716778,30228055.52,Technology Services,2025-10-26
NYSE:ST,ST,31.88,15.507246376811585,-2.5970058050717935,-8.888253786796236,42263857.96,Electronic Technology,2025-10-26
NYSE:MNTN,MNTN,18.47,1747.0,-36.28837530182822,62.30228471001755,23921679.08,Technology Services,2025-10-26
OTC:ENCC,ENCC,0.036,11899.999999999998,2150.0,1339.9999999999998,45915.047999999995,Technology Services,2025-10-26
NYSE:MFC,MFC,32.59,5.983739837398385,4.656390494540792,8.633333333333345,41084681.27,Finance,2025-10-26
NASDAQ:SKYX,SKYX,1.64,42.608695652173914,45.13274336283186,38.983050847457626,2001752.8399999999,Producer Manufacturing,2025-10-26
NYSE:DE,DE,472.76,10.955689072474655,-8.143081974857669,15.592068265727764,561288092.08,Producer Manufacturing,2025-10-26
NYSE:TT,TT,425.87,14.780475972293356,-8.385500699150267,8.41904276985743,503389838.49,Producer Manufacturing,2025-10-26
NASDAQ:BETR,BETR,79.52,768.6438363646292,451.4563106796116,431.9063545150501,91627079.03999999,Finance,2025-10-26
NASDAQ:FTAI,FTAI,181.96,25.489655172413798,63.45670140136545,28.803001344942306,198421557.28,Electronic Technology,2025-10-26
NASDAQ:ZS,ZS,323.0,75.49578918772072,13.634364720575558,76.97660402169744,343611276.0,Technology Services,2025-10-26
OTC:VLTLF,VLTLF,0.32422,57.388349514563124,66.26666666666667,-4.64117647058824,343898.5329,Non-Energy Minerals,2025-10-26
NASDAQ:CAR,CAR,157.01,91.96723315808775,-25.637018092261062,96.50813516896118,164426210.34,Finance,2025-10-26
NASDAQ:VICR,VICR,90.44,85.63218390804597,91.28595600676819,81.78894472361809,93963632.84,Electronic Technology,2025-10-26
NASDAQ:NMRK,NMRK,19.48,50.54095826893355,44.61766889383816,32.96928327645051,19944442.16,Finance,2025-10-26
NYSE:OMF,OMF,57.11,9.385175253782798,-2.559290223511346,23.53450140601342,58150943.97,Finance,2025-10-26
NASDAQ:TRMB,TRMB,81.42,15.146372507424706,-3.6905606813342846,34.35643564356435,81686324.82000001,Technology Services,2025-10-26
OTC:CGUD,CGUD,0.0011,37.5,37.5,10.000000000000005,1100.0,Electronic Technology,2025-10-26
OTC:ACCR,ACCR,0.0028,99.99999999999999,180.0,133.33333333333334,2798.9276,Technology Services,2025-10-26
NYSE:TIMB,TIMB,22.64,94.66895958727429,25.56849694952856,50.332005312084995,22159239.6,Communications,2025-10-26
NYSE:SPR,SPR,39.48,15.102040816326532,-3.7073170731707394,25.29355760076165,38283637.559999995,Electronic Technology,2025-10-26
NYSE:NTST,NTST,19.26,35.9209597741708,5.418719211822671,20.67669172932331,17813458.44,Finance,2025-10-26
OTC:PLGGF,PLGGF,0.2748,127.48344370860924,168.8845401174168,634.7593582887699,248072.4024,Technology Services,2025-10-26
OTC:NTCPF,NTCPF,1.21,332.1428571428571,23.46938775510204,255.8823529411764,1088067.09,Non-Energy Minerals,2025-10-26
NYSE:TEX,TEX,56.39,21.268817204301076,8.275729646697393,6.597353497164466,49256552.22,Producer Manufacturing,2025-10-26
NASDAQ:CFFN,CFFN,6.44,8.053691275167793,3.370786516853932,-3.4482758620689586,5605646.48,Finance,2025-10-26
NYSE:VIV,VIV,12.69,69.42590120160212,14.634146341463406,34.71337579617834,10765612.26,Communications,2025-10-26
NYSE:BFH,BFH,65.5,7.394654861452693,6.34843318720571,29.369938771479355,55457343.5,Finance,2025-10-26
AMEX:RYDE,RYDE,0.6,16.618075801749278,79.10447761194028,-3.225806451612906,500013.6,Technology Services,2025-10-26
NASDAQ:WKEY,WKEY,10.37,12.717391304347828,73.70184254606365,371.3636363636362,8636550.799999999,Electronic Technology,2025-10-26
NYSE:FN,FN,421.0,91.98321856901819,35.95117383020634,68.85929728862506,338004902.0,Electronic Technology,2025-10-26
OTC:FBEC,FBEC,0.0004,100.0,300.0,33.33333333333336,320.0,Technology Services,2025-10-26
OTC:CVAT,CVAT,0.065,282.35294117647055,130.4964539007092,550.0,50597.365000000005,Producer Manufacturing,2025-10-26
NYSE:EGP,EGP,177.2,10.205858573294357,6.006221584111027,-1.5610243875340273,137532362.4,Finance,2025-10-26
OTC:WCUFF,WCUFF,0.0475,10.722610722610721,26.32978723404255,-24.24242424242425,36641.975,Non-Energy Minerals,2025-10-26
NASDAQ:HTBK,HTBK,10.6,11.696522655426758,8.163265306122437,8.717948717948715,7960430.399999999,Finance,2025-10-26
NYSE:CUBI,CUBI,70.11,42.61594792514241,10.670876085240723,53.24590163934426,52637606.46,Finance,2025-10-26
NYSE:CURB,CURB,24.51,5.6010340370529965,7.170966331438568,5.829015544041457,17846784.93,Finance,2025-10-26
NYSE:ADNT,ADNT,24.07,39.69820081253627,5.385288966725046,10.615808823529406,17372402.15,Producer Manufacturing,2025-10-26
NYSE:MLI,MLI,102.99,28.737499999999994,16.504524886877814,26.710137795275585,74101716.96,Producer Manufacturing,2025-10-26
NASDAQ:TCBI,TCBI,85.45,8.178250411444496,-1.1109825251706906,8.950656636491132,56679583.15,Finance,2025-10-26
NYSE:OPFI,OPFI,10.18,30.84832904884318,-9.751773049645388,96.14643545279381,6647825.04,Finance,2025-10-26
NYSE:NTB,NTB,42.44,15.734933187891997,-3.8731596828992094,11.74302264349658,27564398.04,Finance,2025-10-26
NASDAQ:DOMO,DOMO,13.67,90.3899721448468,-15.2510849349039,79.63206307490144,8860224.17,Technology Services,2025-10-26
NASDAQ:PI,PI,235.83,60.16707416462917,94.82032218091699,12.686353211009179,150674852.79000002,Electronic Technology,2025-10-26
NASDAQ:KALU,KALU,95.79,34.839527027027025,10.803932909196071,41.6802248188138,61068902.910000004,Non-Energy Minerals,2025-10-26
OTC:RIOCF,RIOCF,13.936,12.206119162640901,6.381679389312979,-1.6027677751888747,8814826.592,Finance,2025-10-26
NYSE:AGCO,AGCO,108.67,15.39768503769778,-1.8869628024557632,8.996990972918756,67541773.77,Producer Manufacturing,2025-10-26
NYSE:PFSI,PFSI,132.67,28.793321036792527,42.82484659274409,32.088809239346865,82057456.36,Finance,2025-10-26
OTC:PTAM,PTAM,0.0022,266.66666666666674,-36.23188405797101,175.0,1357.4,Non-Energy Minerals,2025-10-26
NYSE:SPNT,SPNT,18.36,11.610942249240122,-6.94374049670553,35.398230088495566,11245389.84,Finance,2025-10-26
OTC:MAXQF,MAXQF,0.08,58.10276679841898,99.00497512437812,181.69014084507043,46827.520000000004,Electronic Technology,2025-10-26
OTC:TGLO,TGLO,0.5,233.33333333333334,92.3076923076923,354.54545454545456,284136.0,Finance,2025-10-26
AMEX:BRBS,BRBS,4.36,34.567901234567906,14.736842105263172,54.06360424028269,2450272.04,Finance,2025-10-26
NYSE:JBGS,JBGS,21.51,39.40375891121194,10.990712074303419,18.64313292884723,12006258.21,Finance,2025-10-26
NYSE:CNO,CNO,40.12,7.1581196581196584,7.129506008010665,13.718820861677994,22183952.799999997,Finance,2025-10-26
NASDAQ:WWD,WWD,265.82,58.339289969025494,3.6820344800686473,61.90766232184187,143332802.2,Producer Manufacturing,2025-10-26
OTC:DTEGY,DTEGY,33.76,12.645979312645975,-8.484684196259154,11.899237653297966,18180840.32,Communications,2025-10-26
NYSE:ENVA,ENVA,124.7,29.31660271699678,14.561322921451548,39.8609241812472,65973906.7,Finance,2025-10-26
NYSE:HII,HII,299.91,57.98040455120102,13.99521076437723,17.54262198706644,157526527.86,Electronic Technology,2025-10-26
