ticker,logoid,name,postmarket_close,postmarket_change_abs,postmarket_change,postmarket_volume,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
NYSE:PG,procter-and-gamble,PG,160.68,-0.15000000000000568,-0.09326618168252544,1420160,160.83,-0.2295285359801341,6999589,377072692897.0,-6.080485167799953,Procter & Gamble Company (The),stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:WFC,wells-fargo,WFC,83.52,-0.0799999999999983,-0.09569377990430418,1401475,83.6,1.5055852355512322,11237276,272049661831.0,21.1352408007784,Wells Fargo & Company,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:CMG,chipotle-mexican-grill,CMG,57.15,0.0799999999999983,0.14017872787804153,1379662,57.07,0.5284481240091548,10384051,76894063849.0,-19.356053395766004,"Chipotle Mexican Grill, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:ACHR,archer-aviation,ACHR,10.08,-0.08999999999999986,-0.884955752212388,1357505,10.17,1.903807615230456,19267330,6447892399.999999,437.8239473117319,Archer Aviation Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:NEE,nextera-energy,NEE,74.4,0.5200000000000102,0.703844071467258,1354932,73.88,1.1777595179402895,8560920,152091660273.99997,-1.5620134900079328,"NextEra Energy, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:KVUE,kenvue,KVUE,21.0293,-0.020700000000001495,-0.0983372921615273,1334679,21.05,0.717703349282307,6093067,40414104755.0,15.741602364317034,Kenvue Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:QBTS,d-wave-quantum,QBTS,16.64,-0.14999999999999858,-0.8933889219773591,1309047,16.79,5.068836045056313,29876571,5246443175.0,2361.440856192994,D-Wave Quantum Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:YGMZ,mingzhu-logistics-limited,YGMZ,0.94,-0.08000000000000007,-7.843137254901968,1300399,1.02,4.081632653061228,1562148,78212642.0,658.8728053310243,MingZhu Logistics Holdings Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:AAL,american-airlines-group,AAL,11.6703,-0.019700000000000273,-0.16852010265184153,1299968,11.69,0.5159071367153801,30316593,7709698850.0,-4.684015703755914,"American Airlines Group, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:GRAB,grab,GRAB,4.8807,0.010699999999999932,0.21971252566734975,1273331,4.87,-0.6122448979591887,19438366,19843493433.0,30.739081027039553,Grab Holdings Limited,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:WINT,,WINT,0.8681,-0.06110000000000004,-6.575548859233754,1268998,0.9292,20.675324675324678,81518198,3402070.0000000005,12.285684770315626,"Windtree Therapeutics, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
NYSE:ADT,adt,ADT,8.47,0.0,0.0,1261777,8.47,2.418379685610654,15208622,6621557637.0,-3.9169170391595625,ADT Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:SLB,schlumberger,SLB,35.65,0.0,0.0,1260769,35.65,-0.7240323029796659,7240714,48489763867.00001,-25.305651431653985,Schlumberger N.V.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:CLVT,clarivate-plc,CLVT,4.37,-0.019999999999999574,-0.455580865603635,1250163,4.39,-1.348314606741584,3033221,2998751194.0,-28.682480266754116,Clarivate Plc,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:SMCI,super-micro-computer,SMCI,48.59,0.030000000000001137,0.06177924217463166,1201931,48.56,-0.36930652441526407,18665414,28981464784.0,-48.97501205809478,"Super Micro Computer, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:GRYP,gryphon-digital-mining,GRYP,1.2897,-0.020299999999999985,-1.5496183206106857,1195877,1.31,11.965811965811977,18195302,95050604.00000001,38.64798330053816,"Gryphon Digital Mining, Inc",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:XOM,exxon,XOM,112.06,-0.14000000000000057,-0.12477718360071352,1193512,112.2,1.035569563259798,11223580,483541500617.9999,-0.5123696670871816,Exxon Mobil Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:MU,micron-technology,MU,121.8,-0.4900000000000091,-0.40068689181454664,1182924,122.29,0.45178248726795744,13247831,136857812203.0,-10.607092112876368,"Micron Technology, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:RUN,sunrun,RUN,10.49,-0.009999999999999787,-0.0952380952380932,1123300,10.5,16.7964404894327,33830506,2399107887.0000005,-50.94131991208537,Sunrun Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:HBAN,huntington-bancshares,HBAN,17.55,0.010000000000001563,0.05701254275941598,1111542,17.54,0.8045977011494285,21797655,25552477596.000004,26.069688177940463,Huntington Bancshares Incorporated,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:RIVN,rivian,RIVN,13.09,0.019999999999999574,0.15302218821728825,1091569,13.07,1.5540015540015624,21513393,14983772485.999998,51.4281112145408,"Rivian Automotive, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:BMY,bristol-myers-squibb,BMY,47.05,0.12999999999999545,0.2770673486785922,1075971,46.92,-1.490657148855765,7024133,95485987905.00002,12.197683158199473,Bristol-Myers Squibb Company,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:MRK,merck-and-co,MRK,81.28,0.3499999999999943,0.43247250710489843,1065514,80.93,-1.772059715984942,7734538,203217759829.0,-40.039545176265825,"Merck & Company, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:SNAP,snap,SNAP,9.2601,-0.00990000000000002,-0.10679611650485459,1056581,9.27,-1.1727078891258123,21788698,15491821956.0,-47.407398771745996,Snap Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:ORCL,oracle,ORCL,237.4591,0.13910000000001332,0.05861284341817517,1041965,237.32,3.1915818766849307,18441373,666592269987.0,47.78357442624137,Oracle Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:KDP,keurig-dr-pepper,KDP,33.86,0.07000000000000028,0.20716188221367354,1038174,33.79,-0.1477541371158518,5376466,45893371356.0,-2.138180086685826,Keurig Dr Pepper Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:QXO,qxo,QXO,22.0,0.019999999999999574,0.09099181073703173,1031568,21.98,1.8063918480778165,6105852,14733927254.0,23838.75930880861,"QXO, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:KHC,kraft-heinz,KHC,26.6551,-0.004899999999999238,-0.018379594898721822,1029522,26.66,-1.4781966001478144,9176755,31553232586.0,-23.682758147955596,The Kraft Heinz Company,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:OSCR,oscar-health,OSCR,16.51,0.0400000000000027,0.24286581663632484,1013480,16.47,-0.9025270758122872,29007342,3609614367.0000005,27.664053462237955,"Oscar Health, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:CCCS,ccc-intelligent-solutions,CCCS,9.75,0.0,0.0,1003216,9.75,1.456815816857446,4448992,6425836761.0,-13.82564272762766,CCC Intelligent Solutions Holdings Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:U,unity,U,26.0501,-0.07989999999999853,-0.30577879831610616,1002720,26.13,7.619439868204274,14056673,10862099826.0,53.63632675315449,Unity Software Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
